,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.summary.range,0.02707110681264084,0.028368649449951287,0.029666192087261737,0.030963734724572187,0.03226127736188263,0.02936663542827943,0.03071624787045931,0.03206586031263931,0.033415472754819195,0.03476508519699907,0.03102761851558673,0.03220063061162772,0.03355024305380772,0.034899855495987606,0.03624946793816748,0.032910832127594325,0.03387646080597215,0.03503462579497601,0.03638423823715589,0.03774963153104133,0.02669481962957461,0.038496776747835824,0.03985082650039527,0.04120487625295459,0.04255892600551392,0.028514661170962994,0.04094805405342515,0.04208648932807965,0.04322492460273428,0.0443633598773889
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.positiveCount,1086,1123,1157,1187,1214,1308,1350,1396,1431,1458,1371,1417,1473,1509,1535,1324,1376,1436,1474,1503,1262,1314,1374,1416,1447,1189,1240,1299,1339,1369
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.negativeCount,486,449,415,385,358,543,501,455,420,393,618,572,516,480,454,697,645,585,547,518,775,723,663,621,590,853,802,743,703,673
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.positiveProportion,0.6908396946564885,0.7143765903307888,0.7360050890585241,0.7550890585241731,0.772264631043257,0.706645056726094,0.7293354943273906,0.7541869259859535,0.773095623987034,0.7876823338735819,0.6892911010558069,0.7124183006535948,0.7405731523378583,0.7586726998491704,0.7717445952740071,0.6551212271152894,0.6808510638297872,0.7105393369619001,0.7293419099455715,0.743691241959426,0.6195385370643103,0.6450662739322534,0.6745213549337261,0.695139911634757,0.7103583701521846,0.5822722820763957,0.6072477962781586,0.6361410381978453,0.6557296767874633,0.6704211557296768
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.negativeProportion,0.30916030534351147,0.2856234096692112,0.2639949109414758,0.24491094147582698,0.227735368956743,0.293354943273906,0.2706645056726094,0.24581307401404645,0.22690437601296595,0.21231766612641814,0.31070889894419307,0.2875816993464052,0.2594268476621418,0.24132730015082957,0.22825540472599296,0.3448787728847105,0.3191489361702128,0.2894606630381,0.2706580900544285,0.25630875804057396,0.3804614629356897,0.3549337260677467,0.32547864506627394,0.30486008836524303,0.28964162984781544,0.4177277179236043,0.39275220372184133,0.36385896180215477,0.34427032321253676,0.3295788442703232
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.positiveProportionCI_95.lowerLimit,0.6673350588965963,0.691341062841828,0.7134681900645636,0.7330508414115615,0.7507149645390401,0.6853198726907541,0.708471820652002,0.7339069896102401,0.7533217357468567,0.7683346221280832,0.668431778299323,0.6919733433941612,0.7207157888743312,0.7392445617491663,0.7526529368711754,0.6339339492699698,0.6600289852061169,0.6902241959305226,0.7094017493140867,0.7240623368419437,0.5980462143101642,0.6238399949445992,0.6536870065950329,0.6746339418751149,0.6901242776307981,0.5605268076748153,0.5856814930885008,0.6148492998054049,0.6346653014509032,0.6495548905868606
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.positiveProportionCI_95.upperLimit,0.713629511476473,0.7366081121313663,0.7576568933540324,0.7761697259568077,0.7927912549511471,0.7273118623458392,0.7494693057463662,0.773657379892309,0.7920031678927775,0.806113046803776,0.7095874999263527,0.7322395673764299,0.7597206081200508,0.7773385946926846,0.7900263430066539,0.6758525797425372,0.7011436300074801,0.7302427674094856,0.7486162218700712,0.7626085616408569,0.6406846381193526,0.6658712957323213,0.6948488710203999,0.7150821601519353,0.7299857273017536,0.6037750356227713,0.6285076907285864,0.6570472717285156,0.6763456570646789,0.6907960441507157
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.negativeProportionCI_95.lowerLimit,0.2863704885235269,0.26339188786863366,0.2423431066459675,0.2238302740431924,0.207208745048853,0.2726881376541607,0.25053069425363406,0.22634262010769096,0.20799683210722247,0.19388695319622412,0.2904125000736473,0.2677604326235703,0.24027939187994915,0.2226614053073152,0.20997365699334625,0.3241474202574627,0.29885636999251997,0.26975723259051443,0.25138377812992874,0.23739143835914303,0.3593153618806475,0.3341287042676788,0.30515112897960006,0.28491783984806474,0.2700142726982465,0.39622496437722854,0.3714923092714135,0.3429527282714845,0.32365434293532114,0.3092039558492841
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.negativeProportionCI_95.upperLimit,0.3326649411034039,0.30865893715817205,0.2865318099354363,0.26694915858843854,0.24928503546095993,0.31468012730924577,0.29152817934799824,0.26609301038975974,0.24667826425314332,0.23166537787191677,0.331568221700677,0.30802665660583894,0.27928421112566876,0.2607554382508337,0.2473470631288247,0.36606605073002996,0.33997101479388303,0.30977580406947747,0.29059825068591316,0.27593766315805623,0.40195378568983575,0.37616000505540087,0.346312993404967,0.32536605812488506,0.3098757223692019,0.4394731923251848,0.41431850691149913,0.3851507001945953,0.365334698549097,0.35044510941313944
backtestResult.results.groupedByEntryType.bearish.profitInfo.profitMargin.meanCI_95.lowerLimit,-0.0006450464670423053,-0.0006890051621586293,-0.0007069601981568838,-0.0007503348932098946,-0.0007825969037712414,-0.0007003659058827996,-0.0007276133212212795,-0.0007213433891837763,-0.0007432871592555561,-0.0007589294767883218,-0.0007016343403345295,-0.0007265809276659128,-0.0007041852235669962,-0.0007364575602536897,-0.0007663949797658362,-0.0006754055444688635,-0.0006977632838114087,-0.0006616433214951159,-0.0006902757898290805,-0.0007203015324515048,-0.0006260039958190552,-0.0006514674450318662,-0.0006195876369864902,-0.0006405245811443821,-0.000674211506798228,-0.0006045885968011106,-0.0006511225192575587,-0.0006177045177510402,-0.0006594272929938449,-0.0007105225614482925
